country_code,artist_name_en,artist_name_ru,type,artist_real_name_en,artist_real_name_ru,year born,lgbt,place_born_en,place_born_ru,place_growup_en,place_growup_ru,bio_en,bio_ru,photo_file
DE,Sarah Engels,Сара Энгельс,SINGER,,,1992,,Cologne,Кёльн,,,TODO: перевести,"Стала популярной в 2011 году после занятия 2 места в Deutschland sucht den Superstar.
Также заняла 2 место в шоу Let's Dance и выиграла шоу Das große Promibacken, The Masked Singer и Dancing on Ice.
Автор 6 студийных альбомов и более 30 синглов.",https://i0.wp.com/escxtra.com/wp-content/uploads/Sarah-Engels-Das-Deutsche-Finale-Eurovisoin-2026-Germany.jpg?fit=1440%2C810&ssl=1
DK,Søren Torpegaard Lund,Сёрен Торпегор Лунн,SINGER,,,1998,GAY,Gudme,Гудме,Oure,Оуре,TODO: перевести,Символ Сёрена -- птица зимородок,https://www.eurovisionuniverse.com/wp-content/uploads/2026/02/Soren-Torpegaard-Lund-1.jpg
EE,Vanilla Ninja,,BAND,"Lenna Kuurmaa, Piret Järvis-Milder, Kerli Kivilaan","Леннаа Куурма, Пирет Ярвис-Милдер, Керли Кивилаан",,,,,,,TODO: перевести,"Эстонская группа с 2002 года, популярная и на родине, и в Европе.
Группа представляла Швейцарию на Евровидении-2005 и заняла 8-ое место.
Группа прекратила существовать в 2008 году из-за финансовых проблем, музыкантки занялись сольными карьерами.
Но в 2020 году группа вернулась.",https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/eesti-laul-2026-vanilla-ninja-photo-ken-murk_rxkqjpljpg/Eesti%20Laul%202026%20-%20Vanilla%20Ninja%20%28Photo%20Ken%20M%C3%BCrk%29_RxKqJpL-fill_size%3D1600x900-focal_point%3D1463x611-focal_size%3D1758x963-fill_size%3D1600x900-focal_point%3D1463x611-focal_size%3D1758x963.jpg
FI,Linda Lampenius and Pete Parkkonen,Линда Лампениус и Пете Паркконен,DUO,,,"1970, 1990",,,,Helsinki and Pihtipudas,Хельсинки и Пихтипудас,TODO: перевести,,https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/linda_lampenius_x_pete_parkkonen_music_video_still_credit_nelli_kentta_lcyg46bjpg/Linda_Lampenius_x_Pete_Parkkonen_music_video_still_Credit_Nelli_kentta_LCYG46b-fill_size%3D2560x1600-focal_point%3D2546x913-focal_size%3D968x704-fill_size%3D2560x1600-focal_point%3D2546x913-focal_size%3D968x704.jpg
FR,Monroe,Монро,SINGER,Monroe Vata Rigby,Монро Вата Ригби,2008,,"Salt Lake City, USA","Солт-Лейк-Сити, США",,,TODO: перевести,Самая молодая участница этого года,https://www.leparisien.fr/resizer/0DlHo1k_P1yh35d4_9Rw7d0rE2g=/932x582/cloudfront-eu-central-1.images.arcpublishing.com/leparisien/C3KMS5SEXVGRDPYEACKUOGHRSE.jpg
GB,Look Mum No Computer,,SINGER,Sam Battle,Сэм Джеймс Бэттл,1989,,Grantham,Грантем,,,TODO: перевести,Много лет ведёт блог с музыкальными экспериментами на ютубе,https://pix.eurovisionworld.com/pix/united-kingdom-2026-look-mum-no-computer-67.jpg
GE,Bzikebi,Бзикеби,BAND,"Giorgi Shiolashvili, Mariam Tatulashvili, Mariam Kikuashvili","Георгий Шиолашвили, Мариам Татулашвили, Мариам Кикуашвили",,,,,,,TODO: перевести,Победители Детского Евровидения в 2008 году с пчелиной песней «Bzz…».,https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/img_7022png/IMG_7022-fill_size%3D1600x900-focal_point%3D1158x358-focal_size%3D285x273-fill_size%3D1600x900-focal_point%3D1158x358-focal_size%3D285x273.png
GR,Akylas,Акилас,SINGER,Akylas Mytilinaios,Акилас Митилинайос,1999,QUEER,Serres,Сере,,,TODO: перевести,Два года работал певцом на круизных лайнерах,https://i0.wp.com/eurovision-quotidien.com/wp-content/uploads/2026/02/AKYLAS-Grece-2026.jpg?resize=1280%2C640&ssl=1
HR,Lelek,,BAND,"Inka Večerina Perušić, Judita Štorga, Korina Olivia Rogić, Lara Brtan, Marina Ramljak","Инка Вечерина Перушич, Юдита Шторга, Корина Оливия Рогич, Лара Бртан, Марина Рамляк",,,,,,,TODO: перевести,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTH9Bh4mXy-6TlbqOlS4W9Lxy1rwhHdRt7CDw&s
IL,Noam Bettan,Ноам Беттан,SINGER,,,1998,,Ra'anana,Раанана,,,TODO: перевести,,https://i0.wp.com/escxtra.com/wp-content/uploads/Noam-Bettan-Israel-Eurovision-2026.jpg?fit=1320%2C880&ssl=1
IT,Sal Da Vinci,Саль да Винчи,SINGER,,,1969,,"New York City, USA","Нью-Йорк, США","Неаполь, Италия","Naples, Italy",TODO: перевести,Самый возрастной участник этого года,https://www.raiplay.it/dl/img/2026/02/28/1772314075053_saldavinci-1152.jpg
LT,Lion Ceccah,Лион Чекках,SINGER,Tomas Alenčikas,Томас Аленчикас,1991,QUEER,Vilnius,Вильнюс,,,TODO: перевести,Развивает драг-культуру в Литве,https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/lithuaniajpg/Lithuania-fill_size%3D2560x1600-focal_point%3D1306x690-focal_size%3D570x459-fill_size%3D2560x1600-focal_point%3D1306x690-focal_size%3D570x459.jpg
LU,Eva Marija,Ева Мария,SINGER,Eva Marija Kavaš Puc,Ева Мария Каваш Пуц,2005,,Luxembourg City,Люксембург,,,TODO: перевести,"Вдохновилась стать скрипачкой, увидев выступление Александра Рыбака на Евровидении в 2009 году",https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/eva_marija-008_yfx8gpcjpg/Eva_Marija-008_yFX8GPC-fill_size%3D1600x900-fill_size%3D1600x900.jpg
LV,Atvara,,SINGER,Liene Atvara,Лиене Атвара,1993,,Liepāja,Лиепая,,,TODO: перевести,"Несколько лет входила в команды участников Евровидения, но занималась там маркетингом и была среди авторов песен",https://thateurovisionsite.com/wp-content/uploads/image_2026-02-14_212850452.png
MD,Satoshi,,SINGER,Vlad Sabajuc,Влад Сабажук,1998,,Cahul,Кагул,,,TODO: перевести,"Одна из участниц группы, Алёна Мун, уже дважды была на Евровидении. В 2012 в роли бэк вокалистки, а в 2013 с сольным номером",https://i0.wp.com/eurovoix.com/wp-content/uploads/2026/01/Satoshi.webp?resize=800%2C500&ssl=1
ME,Tamara Živković,Тамара Живкович,SINGER,,,2000,,Kotor,Котор,,,TODO: перевести,,https://pix.eurovisionworld.com/pix/montenegro-2026-tamara-zivkovic-6.jpg
MT,Aidan,Эйдан,SINGER,Aidan Cassar,Эйдан Кассар,1999,,Żejtun,Зейтун,,,TODO: перевести,,https://pix.eurovisionworld.com/pix/malta-2026-aidan.jpg
NO,Jonas Lovv,Йонас Ловв,SINGER,,,,,,,,,TODO: перевести,,https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/jonas-lovv_pm8n6dqjpg/Jonas%20Lovv_pm8n6Dq-fill_size%3D1600x900-focal_point%3D1473x621-focal_size%3D705x778-fill_size%3D1600x900-focal_point%3D1473x621-focal_size%3D705x778.jpg
PL,Alicja,Алиция,SINGER,Alicja Maria Szemplińska,Алиция Мария Шемплинская,2002,,Ciechanów,Цеханув,,,TODO: перевести,Должна была представлять Польшу на отменённом Евровидении-2020.,https://pix.eurovisionworld.com/pix/poland-2026-alicja.jpg
PT,Bandidos do Cante,,BAND,"Miguel Costa, Duarte Farias, Francisco Raposo, Luís Aleixo, Francisco Pestana","Мигель Коста, Дуарте Фариас, Франсиско Рапосо, Луис Алейшу, Франсиско Пестана",,,,,,,TODO: перевести,,https://pix.eurovisionworld.com/pix/portugal-2026-bandidos-do-cante.jpg
RO,Alexandra Căpitănescu,Александра Кэпитэнеску,SINGER,,,2003,,Galați,Галац,,,TODO: перевести,,https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/romaniajpg/Romania-fill_size%3D2560x1600-focal_point%3D1659x838-focal_size%3D348x296-fill_size%3D2560x1600-focal_point%3D1659x838-focal_size%3D348x296.jpg
RS,Lavina,Лавина,BAND,"Luka Aranđelović, Pavle Aranđelović, Pavle Samardžić, Andrija Cvetanović, Nikola Petrović, Bojan Ilić","Лука Аранджелович, Павле Аранджелович, Павле Самарджич, Андрия Цветанович, Никола Петрович, Боян Илич",,,,,,,TODO: перевести,,https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/lavina_dsc_6690-copdy-copy2_l0qfyuvjpg/LAVINA_DSC_6690%20copdy%20copy2_l0QfYUv-fill_size%3D1600x900-focal_point%3D1984x751-focal_size%3D1209x759-fill_size%3D1600x900-focal_point%3D1984x751-focal_size%3D1209x759.jpg
SE,Felicia,Фелисия,SINGER,Felicia Eriksson,Фелисия Агнета Эрикссон,2001,,Tullinge,Туллинге,,,TODO: перевести,Фелисия скрывает нижнюю часть лица маской или надевает большие солнцезащитные очки,https://pix.eurovisionworld.com/pix/sweden-2026-felicia.jpg
SM,Senhit,Сенит,SINGER,Senhit Zadik Zadik,Сенит Задик Задик,1979,,"Bologna, Italy","Болонья, Италия",,,TODO: перевести,"Уже представляла Сан-Марино в 2011 (не вышла в финал), в 2020 (конкурс отменили) и в 2021 (22 место в финале).",https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/san-marinojpg/San%20Marino-fill_size%3D2560x1600-focal_point%3D1335x451-focal_size%3D318x413-fill_size%3D2560x1600-focal_point%3D1335x451-focal_size%3D318x413.jpg
UA,Leléka,Лелека,SINGER,Viktoria Leléka,Виктория Лелека,1990,,Shakhtarske,Шахтёрское,,,TODO: перевести,«Лелека» переводится с укранского как «Аист»,https://storage.googleapis.com/eurovision-com.appspot.com/renditions/public/cms/leleka_editjpg/LEL%C3%89KA_edit-fill_size%3D1600x900-focal_point%3D2088x1249-focal_size%3D1546x1484-fill_size%3D1600x900-focal_point%3D2088x1249-focal_size%3D1546x1484.jpg
