country_code,country_name_en,country_name_ru,basic_stats_en,basic_stats_ru,eurovision_stats_en,eurovision_stats_ru,wikidata_qid
LV,Latvia,TODO: Latvia,Template: basic country stats for Latvia.,Шаблон: базовая статистика для Latvia.,Template: Eurovision stats for Latvia.,Шаблон: статистика Евровидения для Latvia.,
DK,Denmark,TODO: Denmark,Template: basic country stats for Denmark.,Шаблон: базовая статистика для Denmark.,Template: Eurovision stats for Denmark.,Шаблон: статистика Евровидения для Denmark.,
AU,Australia,TODO: Australia,Template: basic country stats for Australia.,Шаблон: базовая статистика для Australia.,Template: Eurovision stats for Australia.,Шаблон: статистика Евровидения для Australia.,
UA,Ukraine,TODO: Ukraine,Template: basic country stats for Ukraine.,Шаблон: базовая статистика для Ukraine.,Template: Eurovision stats for Ukraine.,Шаблон: статистика Евровидения для Ukraine.,
AL,Albania,TODO: Albania,Template: basic country stats for Albania.,Шаблон: базовая статистика для Albania.,Template: Eurovision stats for Albania.,Шаблон: статистика Евровидения для Albania.,
MT,Malta,TODO: Malta,Template: basic country stats for Malta.,Шаблон: базовая статистика для Malta.,Template: Eurovision stats for Malta.,Шаблон: статистика Евровидения для Malta.,
NO,Norway,TODO: Norway,Template: basic country stats for Norway.,Шаблон: базовая статистика для Norway.,Template: Eurovision stats for Norway.,Шаблон: статистика Евровидения для Norway.,
AT,Austria,TODO: Austria,Template: basic country stats for Austria.,Шаблон: базовая статистика для Austria.,Template: Eurovision stats for Austria.,Шаблон: статистика Евровидения для Austria.,
FR,France,TODO: France,Template: basic country stats for France.,Шаблон: базовая статистика для France.,Template: Eurovision stats for France.,Шаблон: статистика Евровидения для France.,
DE,Germany,TODO: Germany,Template: basic country stats for Germany.,Шаблон: базовая статистика для Germany.,Template: Eurovision stats for Germany.,Шаблон: статистика Евровидения для Germany.,
IT,Italy,TODO: Italy,Template: basic country stats for Italy.,Шаблон: базовая статистика для Italy.,Template: Eurovision stats for Italy.,Шаблон: статистика Евровидения для Italy.,
GB,United Kingdom,TODO: United Kingdom,Template: basic country stats for United Kingdom.,Шаблон: базовая статистика для United Kingdom.,Template: Eurovision stats for United Kingdom.,Шаблон: статистика Евровидения для United Kingdom.,
